title,year,certificate,duration,genre,rating,description,stars,votes
F Is for Family,(20152021),TV-MA,28 min,"Animation, Comedy, Drama",8.1,"Frank's pledge to be a better father and husband by one calamity after the next, leading to an epic meltdown at Lamaze class.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",388
F Is for Family,(20152021),TV-MA,27 min,"Animation, Comedy, Drama",7.5,"Eager to make his mark as an alderman, Rosie heads to City Hall - only to find out the crooked mayor has his own plans for the Twelfth Ward.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",453
F Is for Family,(20152021),TV-MA,28 min,"Animation, Comedy, Drama",8.1,A string of good luck lifts the mood at the Murphy house. But a family outing to the fourth-grade play unleashes a fresh wave of chaos.,"['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",385
F Is for Family,(20152021),TV-MA,29 min,"Animation, Comedy, Drama",7.9,"While Frank and the Mohican crew head to X-ray training in Cleveland, Vic gives Kevin and the band a total makeover for Kweezetoberfest.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",371
F Is for Family,(20152021),TV-MA,29 min,"Animation, Comedy, Drama",8.5,"As Sue sets out on a star-crossed trek to the hospital, Frank races to catch a flight home - and vows to settle things with his dad once and for all.","['Sylvain Lavoie, ', 'Rich Wilkie', '| ', '    Stars:', 'Bill Burr, ', 'Laura Dern, ', 'Justin Long, ', 'Debi Derryberry']",455
Black Lightning,(20172021),TV-14,42 min,"Action, Drama, Sci-Fi",6.7,"With Freeland under occupation, the Pierce family gets pulled in different directions; Jefferson and Lynn are at odds with each other; Jennifer feels powerless despite having powers.","['Oz Scott', '| ', '    Stars:', 'Cress Williams, ', 'China Anne McClain, ', 'Nafessa Williams, ', 'Christine Adams']",428
Power Rangers Beast Morphers,(20192020),TV-Y7,,"Action, Adventure, Comedy",8.7,"The Red Ranger gets amazing new powers, but they have unexpected side effects.","['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",32
Power Rangers Beast Morphers,(20192020),TV-Y7,,"Action, Adventure, Comedy",8.4,Ravi resorts to drastic measures when Smash accidentally discovers a closely guarded secret.,"['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",33
Trinkets,(20192020),TV-MA,24 min,"Comedy, Crime, Drama",7.3,"With Moe and Tabitha dodging questions about her whereabouts, Elodie experiences the highs and lows of life on the road with the flighty Sabine.","['John Fortenberry', '| ', '    Stars:', 'Brianna Hildebrand, ', 'Kiana Madeira, ', 'Quintessa Swindell, ', 'Brandon Butler']",152
Feel Good,(20202021),TV-MA,24 min,"Comedy, Drama, Romance",7.0,"Stand-up comedian Mae is stuck in a rut - she's single, in recovery from a drug addiction and sleeping on a friend's sofa. Then she meets the magnetic, but previously heterosexual George.","['Ally Pankiw', '| ', '    Stars:', 'Mae Martin, ', 'Charlotte Ritchie, ', 'Lisa Kudrow, ', 'Sophie Thompson']",381
